keyword,language,cluster,subcluster,audience,country_market,intent,funnel_stage,priority,recommended_page_type,suggested_slug,primary_kpi,content_angle,trust_requirement,verification_flag,notes
הצמדות דירה חדשה,he,New Projects,buyer due diligence,buyers/developers,IL,commercial,consideration,P2,project or project-cluster hub,/projects/new-apartment-attachments,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
מפרט טכני דירה חדשה,he,New Projects,buyer due diligence,buyers/developers,IL,commercial,consideration,P2,project or project-cluster hub,/projects/new-apartment-spec,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
פרויקט מגורים יוקרתי תל אביב,he,New Projects,luxury project,buyers/developers,IL-TLV,commercial,consideration,P2,project or project-cluster hub,/projects/luxury-residential-project-tel-aviv,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
פרויקט נדלן עם הדמיה תלת מימד,he,New Projects,showroom,buyers/developers,IL,commercial,consideration,P2,project or project-cluster hub,/projects/3d-real-estate-project,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
פרויקטים חדשים בחיפה,he,New Projects,city new projects,buyers/developers,IL,commercial,consideration,P2,project or project-cluster hub,/projects/haifa-new-projects,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
mortgage advisor Israel English,en,Professionals,mortgage advisor English,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/english-mortgage-advisor-israel,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
property manager Tel Aviv,en,Professionals,property manager English,buyers/sellers/investors/professionals,IL-TLV,transactional,decision,P2,professional directory category,/professionals/tel-aviv-property-manager,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
אדריכל שיפוץ דירה,he,Professionals,architect,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/renovation-architect,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
חברת ניהול נכסים בישראל,he,Professionals,property manager,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/property-management-israel,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
יועץ התחדשות עירונית,he,Professionals,urban renewal consultant,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/urban-renewal-consultant,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
יועץ מס רכישת דירה,he,Professionals,tax advisor,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/apartment-purchase-tax-advisor,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION;LEGAL_REVIEW,Do not publish placeholder professional profiles.
יועץ נדלן להשקעה,he,Professionals,investment advisor,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/real-estate-investment-advisor,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
מהנדס בדק בית,he,Professionals,inspector,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/home-inspection-engineer,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
מעצבת פנים לדירה חדשה,he,Professionals,interior designer,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/new-apartment-interior-designer,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
מפקח בניה דירה מקבלן,he,Professionals,construction inspector,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/developer-apartment-inspector,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
מתווך נכסי יוקרה תל אביב,he,Professionals,luxury realtor,buyers/sellers/investors/professionals,IL-TLV,transactional,decision,P2,professional directory category,/professionals/tel-aviv-luxury-realtor,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
קבלן שיפוצים מומלץ,he,Professionals,contractor,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/renovation-contractor,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
שמאי דירה להשקעה,he,Professionals,appraiser,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/investment-apartment-appraiser,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
שמאי פינוי בינוי,he,Professionals,urban renewal appraiser,buyers/sellers/investors/professionals,IL,transactional,decision,P2,professional directory category,/professionals/pinui-binui-appraiser,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
כמה עולה בדק בית,he,Tools Calculators,inspection cost,buyers/investors/sellers,IL,informational,consideration,P2,interactive tool or calculator,/tools/home-inspection-cost,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
כמה עולה עורך דין קניית דירה,he,Tools Calculators,professional cost,buyers/investors/sellers,IL,informational,consideration,P2,interactive tool or calculator,/tools/real-estate-lawyer-cost,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
כמה עולה שמאי מקרקעין,he,Tools Calculators,professional cost,buyers/investors/sellers,IL,informational,consideration,P2,interactive tool or calculator,/tools/appraiser-cost,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
לוח תשלומים דירה מקבלן,he,Tools Calculators,developer payments,buyers/investors/sellers,IL,informational,consideration,P2,interactive tool or calculator,/tools/developer-payment-schedule,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
מחשבון מדד תשומות הבניה,he,Tools Calculators,construction index,buyers/investors/sellers,IL,informational,consideration,P2,interactive tool or calculator,/tools/construction-index-calculator,tool completion,"Useful calculator with methodology, confidence range, and clear limitations.","methodology, source date, no appraisal/legal/tax guarantee",NEEDS_VERIFICATION,Show inputs and assumptions visibly; avoid black-box outputs.
developer reviews Israel real estate,en,Trust Due Diligence,English developer reviews,buyers/investors/sellers,IL,due_diligence,consideration,P2,trust guide or comparison page,/trust/developer-reviews-israel,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION;LEGAL_REVIEW,Important for public trust and international investor confidence.
yad2 vs madlan,en,Trust Due Diligence,competitor comparison English,buyers/investors/sellers,IL,comparison,consideration,P2,trust guide or comparison page,/trust/yad2-vs-madlan,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION,Important for public trust and international investor confidence.
בדיקת עיקולים על דירה,he,Trust Due Diligence,encumbrance check,buyers/investors/sellers,IL,due_diligence,consideration,P2,trust guide or comparison page,/trust/apartment-encumbrance-check,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION,Important for public trust and international investor confidence.
דירות בלי תיווך אמין,he,Trust Due Diligence,trust + marketplace,buyers/investors/sellers,IL,due_diligence,consideration,P2,trust guide or comparison page,/trust/trusted-no-broker-apartments,guide completion or qualified lead,"Trust-first answer with checklists, proof requirements, and visible limitations.","official references where available, no defamatory claims, legal review for accusations",NEEDS_VERIFICATION,Important for public trust and international investor confidence.
Israel pinui binui explained,en,Urban Renewal,English explainer,owners/buyers/investors,IL,informational,consideration,P2,"guide, map, or project-cluster hub",/urban-renewal/pinui-binui-explained,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
urban renewal Tel Aviv,en,Urban Renewal,English urban renewal,owners/buyers/investors,IL-TLV,informational,consideration,P2,"guide, map, or project-cluster hub",/urban-renewal/urban-renewal-tel-aviv,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
זכויות בניה דירה,he,Urban Renewal,rights,owners/buyers/investors,IL,informational,consideration,P2,"guide, map, or project-cluster hub",/urban-renewal/building-rights-apartment,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
כמה זמן לוקח פינוי בינוי,he,Urban Renewal,process guide,owners/buyers/investors,IL,informational,consideration,P2,"guide, map, or project-cluster hub",/urban-renewal/pinui-binui-timeline,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
תמא 38 לעומת פינוי בינוי,he,Urban Renewal,comparison,owners/buyers/investors,IL,informational,consideration,P2,"guide, map, or project-cluster hub",/urban-renewal/tama-38-vs-pinui-binui,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
תמורות פינוי בינוי,he,Urban Renewal,owner compensation,owners/buyers/investors,IL,informational,consideration,P2,"guide, map, or project-cluster hub",/urban-renewal/pinui-binui-compensation,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
Mapbox real estate Israel,en,3D Map Showroom,map tech English,buyers/international investors/developers,IL,commercial,consideration,P3,showroom feature page or project UX,/showroom/mapbox-real-estate-israel,showroom interaction,"Visual exploration that clearly labels official, concept, missing, and unavailable assets.",official media license/status; no silent fallback,REQUIRES_OFFICIAL_ASSET;NEEDS_VERIFICATION,Do not ship fake facade or unlabeled concept assets.
project walkthrough Tel Aviv,en,3D Map Showroom,English project UX,buyers/international investors/developers,IL,commercial,consideration,P3,showroom feature page or project UX,/showroom/tel-aviv-project-walkthrough,showroom interaction,"Visual exploration that clearly labels official, concept, missing, and unavailable assets.",official media license/status; no silent fallback,REQUIRES_OFFICIAL_ASSET;NEEDS_VERIFICATION,Do not ship fake facade or unlabeled concept assets.
תוכנית דירה אינטראקטיבית,he,3D Map Showroom,interactive plan,buyers/international investors/developers,IL,commercial,consideration,P3,showroom feature page or project UX,/showroom/interactive-apartment-plan,showroom interaction,"Visual exploration that clearly labels official, concept, missing, and unavailable assets.",official media license/status; no silent fallback,REQUIRES_OFFICIAL_ASSET;NEEDS_VERIFICATION,Do not ship fake facade or unlabeled concept assets.
Israel apartment management services,en,International Investors,post-purchase,international investors,IL / global,informational,awareness,P3,English guide/hub,/en/israel-apartment-management-services,English inquiry or guide completion,English-first investor education with Israeli proof and clear disclaimers.,"legal/tax disclaimer, official source links, last reviewed date",NEEDS_VERIFICATION,International pages need extra care: no legal/tax advice without review.
דירות למכירה במערב ראשון לציון,he,Local SEO,neighborhood sale pages,Israeli buyers,IL,local,decision,P3,neighborhood marketplace hub,/real-estate/neighborhoods/west-rishon-lezion/for-sale,qualified listing search,Neighborhood guide plus active inventory for מערב ראשון לציון.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה במרכז הכרמל,he,Local SEO,neighborhood sale pages,Israeli buyers,IL-HFA,local,decision,P3,neighborhood marketplace hub,/real-estate/neighborhoods/merkez-hacarmel-haifa/for-sale,qualified listing search,Neighborhood guide plus active inventory for מרכז הכרמל.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בנווה זמר רעננה,he,Local SEO,neighborhood sale pages,Israeli buyers,IL,local,decision,P3,neighborhood marketplace hub,/real-estate/neighborhoods/neve-zemer-raanana/for-sale,qualified listing search,Neighborhood guide plus active inventory for נווה זמר רעננה.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בנווה שאנן חיפה,he,Local SEO,neighborhood sale pages,Israeli buyers,IL-HFA,local,decision,P3,neighborhood marketplace hub,/real-estate/neighborhoods/neve-shaanan-haifa/for-sale,qualified listing search,Neighborhood guide plus active inventory for נווה שאנן חיפה.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בפארק המדע רחובות,he,Local SEO,neighborhood sale pages,Israeli buyers,IL,local,decision,P3,neighborhood marketplace hub,/real-estate/neighborhoods/science-park-rehovot/for-sale,qualified listing search,Neighborhood guide plus active inventory for פארק המדע רחובות.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות למכירה בקריית השרון נתניה,he,Local SEO,neighborhood sale pages,Israeli buyers,IL,local,decision,P3,neighborhood marketplace hub,/real-estate/neighborhoods/kiryat-hasharon-netanya/for-sale,qualified listing search,Neighborhood guide plus active inventory for קריית השרון נתניה.,"live listing data, map boundaries, last updated date",NEEDS_VERIFICATION,Programmatic template candidate after trust and data QA.
דירות חדשות בבאר שבע,he,New Projects,city new projects,buyers/developers,IL,commercial,consideration,P3,project or project-cluster hub,/projects/beer-sheva-new-apartments,project inquiry,"Project discovery with verified status, map context, and honest media labeling.","official project data, source date, asset/license status, no fake render fallback",NEEDS_VERIFICATION;REQUIRES_OFFICIAL_ASSET;OFFICIAL_SOURCE_REQUIRED,Do not publish claims without official developer/source confirmation.
נוטריון לקניית דירה,he,Professionals,notary,buyers/sellers/investors/professionals,IL,transactional,decision,P3,professional directory category,/professionals/real-estate-notary,professional lead,"Directory route with verification, credentials, reviews, and clear lead routing.","license/credential proof, review policy, no fake profiles",NEEDS_VERIFICATION,Do not publish placeholder professional profiles.
דיירים סרבנים פינוי בינוי,he,Urban Renewal,legal issue,owners/buyers/investors,IL,due_diligence,consideration,P3,"guide, map, or project-cluster hub",/urban-renewal/pinui-binui-holdout-owners,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
מס שבח פינוי בינוי,he,Urban Renewal,tax,owners/buyers/investors,IL,due_diligence,consideration,P3,"guide, map, or project-cluster hub",/urban-renewal/pinui-binui-tax,qualified consultation or guide completion,"Explain status, process, risks, and verified sources without overpromising.","official planning/source links, legal disclaimer, municipality/source date",NEEDS_VERIFICATION;OFFICIAL_SOURCE_REQUIRED;LEGAL_REVIEW,High-risk content; route through legal review before publishing.
