"field_id","asset_types","type","required","definition","allowed_values","unit","truth_default","source_requirement","owner","refresh_rule","expiry_behavior","public_display","unknown_behavior","example"
"floor.core_geometry","commercial;premium","object","CONDITIONAL","Structured or referenced selected-floor core columns shafts risers stairs and exits geometry.","floor_id;geometry_revision;document_id;feature_layers;coordinate_system;source_id","none","unknown","Current CAD BIM or signed plan reconciled to floor schedule.","Owner architect and MEP consultant","On as-built revision","Plan and test-fit tools become request-only","Safe rendered plan; source per policy","Do not open decorative or empty plan.","value=null; evidence.state=unknown"
"floor.dimensions","commercial;premium","object","CONDITIONAL","Dimensioned envelope grid bay depths spans and scale for selected floor.","floor_id;bounding_dimensions;grid;scale;unit;document_id;revision","m","unknown","Current dimensioned CAD BIM or signed PDF.","Owner architect","On as-built revision","Fit-out conclusions become unknown","Yes in plan tool","Show Dimensions not supplied.","value=null; evidence.state=unknown"
"floor.occupancy_certificate","commercial;residential;premium","object","CONDITIONAL","Lawful occupancy evidence whose documented scope includes the exact floor and use.","floor_id;document_id;certificate_type;issued_at;scope;limitations;source_id","none","unknown","Official Form 4 or equivalent certificate plus floor schedule mapping.","Owner legal counsel","On certificate or scope event","Floor move-in state becomes unknown","Certificate summary; file per policy","Show Lawful occupancy not verified and block firm date.","value=null; evidence.state=unknown"
"floor.permitted_uses","commercial;retail;premium","array<object>","CONDITIONAL","Allowed conditional and prohibited uses for the exact floor under permits and landlord policy.","use;state allowed;conditional;prohibited;condition;document_id;verified_at","none","unknown","Current permit use schedule and landlord leasing restrictions.","Owner counsel and architect","On permit or policy change","All use-specific fit-out results become unknown","Yes as general information","Show Permitted use not supplied and request confirmation.","value=null; evidence.state=unknown"
"floor.view_assets","all","array<object>","FALSE","Actual panorama verified simulation or illustrative context assets linked to a floor and camera pose.","asset_id;space_id;asset_type;camera_pose;captured_at;source_id;limitations","none","unknown","Capture metadata survey or documented simulation method.","Owner marketing and product data steward","On asset nearby-planning or geometry change","Lose current or actual badge at expiry","Yes","Offer verified view request and label any illustration prominently.","value=null; evidence.state=unknown"
"i18n.commercial_terms","commercial","object","TRUE","Approved five-language commercial-office terminology and prohibited residential fallback terms.","locale;message_ids;approved_terms;prohibited_terms;reviewed_at;reviewer_role","none","unknown","Native professional translation and commercial editorial approval.","Localization owner and commercial editor","Every copy or catalog release","Commercial surface falls back to neutral approved terms","Yes","Never use home apartment rooms bedrooms or balcony as fallback.","value=null; evidence.state=unknown"
"i18n.layout_acceptance","all","array<object>","TRUE","Per-locale viewport QA results for direction overlap clipping focus order and control reachability.","locale;viewport;direction;test_ids;passed_at;build_version;device_class","none","unknown","Automated visual geometry tests plus required real-device review.","Frontend QA","Every UI or copy release","Release gate fails when missing or expired","Operational summary","Do not claim locale support for the affected surface.","value=null; evidence.state=unknown"
"i18n.page_completeness","all","object","TRUE","Rendered-language inventory proving that a localized page contains no unintended fallback-language strings.","locale;surface;string_count;fallback_count;exceptions;native_reviewed_at","counts","unknown","Rendered text scan and native reviewer approval.","Localization owner","Every content or code release","Locale loses complete status","Operational summary","Label locale incomplete internally and use approved neutral fallback.","value=null; evidence.state=unknown"
"inquiry.buyer_brief","commercial","object","FALSE","Structured company role headcount use area timeline location and technical requirements captured with enquiry.","company;role;headcount;area_range;timeline;use;fitout;power;telecom;commute;notes","none","unknown","Explicit buyer input under just-in-time privacy notice.","Buyer and commercial sales operations","Per submission or saved revision","Delete or anonymize under retention policy","Authorized recipients and buyer receipt","Allow concise general enquiry without inventing requirements.","value=null; evidence.state=unknown"
"inquiry.channel_handoff","all","object","FALSE","Privacy-safe continuity token and delivery outcome when moving a case to email phone WhatsApp or scheduling.","case_id;channel;context_token;initiated_at;delivery_status;recipient_category","none","unknown","Approved channel integration and lead-service audit event.","Commercial sales operations","Every handoff","Token and channel authorization expire under routing policy","Submitting user and operations","Keep user on current acknowledgement and offer staffed fallback.","value=null; evidence.state=unknown"
"inquiry.contact_preferences","all","object","CONDITIONAL","Buyer-selected response channel international phone email timezone language and contact window.","channel;email;phone_e164;timezone;language;contact_window;marketing_opt_in","none","unknown","Explicit user input and consent record where required.","Buyer","Per submission and preference update","Honor withdrawal and delete under retention rule","Authorized recipients and buyer receipt","Use email-first only when valid and disclosed; never infer nationality or timezone.","value=null; evidence.state=unknown"
"inquiry.context_payload","all","object","TRUE","Immutable transaction context attached to an enquiry including project floor space tools gaps and evidence revisions.","project_contract_id;wp_post_id;building_id;tower_id;floor_id;suite_id;asset_type;question_ids;document_ids;source_snapshot;locale","none","unknown","Confirmed UI selection and current evidence snapshot.","Product engineering","Every submission","Persist snapshot under retention policy even if inventory changes","Buyer receipt and authorized recipient","Fail closed for a floor- or suite-specific submission if any required tuple member is absent or mismatched; a project-level enquiry requires a separate explicitly chosen route and label and never inherits the selected-space CTA.","value=null; evidence.state=unknown"
"lease.flexibility_rights","commercial;retail","array<object>","FALSE","Assignment subletting expansion contraction and related consent rights from current terms.","right_type;state;scope;conditions;notice;fees;source_id","none","unknown","Dated heads of terms and draft lease.","Leasing counsel","Per offer revision","Terms expire with offer","Buyer-specific controlled display","Show Not quoted and add exact items to RFP.","value=null; evidence.state=unknown"
"lease.responsibility_matrix","commercial;retail","array<object>","FALSE","Landlord tenant shared or negotiable responsibilities for repair insurance services reinstatement and common areas.","topic;responsible_party;scope;cost_rule;clause_ref;source_id","none","unknown","Current draft lease or landlord standard clauses.","Leasing counsel","Per document revision","Summary expires with clause revision","Buyer-specific with legal caveat","Show Not supplied and request draft terms.","value=null; evidence.state=unknown"
"lease.term_structure","commercial;retail","object","FALSE","Proposed lease commencement duration breaks notices renewals and expiry structure.","commencement;initial_term;breaks;notice_periods;renewal_options;expiry;source_id","months and dates","unknown","Dated heads of terms.","Leasing counsel","Per offer revision","Expires with offer and returns to unknown","Buyer-specific","Show Negotiable or Not quoted.","value=null; evidence.state=unknown"
"market.matched_comps","commercial;residential;premium","array<object>","FALSE","Comparable records selected for the exact asset with explicit matching rationale and adjustments.","comparable_id;match_dimensions;difference_notes;adjustments;analyst;as_of","none","unknown","Licensed or authoritative comparable records and documented matching method.","Market research analyst","Monthly","Expired records remain historical and leave current shortlist","Yes subject to license","Show No verified matched comparables.","value=null; evidence.state=unknown"
"market.rent_comps","commercial","array<object>","FALSE","Office rent transaction or asking comparables with date area basis condition incentives and source.","comparable_id;building;date;rate;area_basis;condition;incentives;source_id;state transaction_or_listing","currency/sqm/month","unknown","Licensed transactions authoritative disclosure or clearly labelled listing.","Market research analyst","Monthly","Lose current badge and exclude from current aggregate","Yes subject to license","Show No verified rent comparable set.","value=null; evidence.state=unknown"
"market.submarket_metrics","commercial;residential;premium","array<object>","FALSE","Vacancy rent absorption pipeline and related metrics under named period geography and method.","metric;value;unit;period;geography;definition;method;source_id","varies","unknown","Current reputable market report with permitted reuse.","Market research analyst","Quarterly","Stop current-tense language and mark historical","Yes subject to license","Show Market metrics not available.","value=null; evidence.state=unknown"
"mep.generator_runtime","commercial;premium","object","FALSE","Verified backup-generator endurance under stated load fuel and test conditions.","duration;load_percent;fuel_state;refueling_assumption;test_date;source_id","hours","unknown","Current load-test report fuel capacity and engineer confirmation.","Facility manager","After every annual load test or system change","Runtime returns to unknown","Public-safe summary","Do not show generic or design-only runtime.","value=null; evidence.state=unknown"
"mep.special_services","commercial;retail;premium","array<object>","FALSE","Floor-specific water drainage gas exhaust and other special service connection points and capacities.","service_type;location;capacity;availability;approval_state;source_id","varies","unknown","As-built MEP drawings and owner engineer confirmation.","Owner MEP consultant","On as-built or allocation change","Affected service becomes unknown","Public-safe summary","Ask intended use and request relevant confirmation.","value=null; evidence.state=unknown"
"mobility.airport_routes","all","array<object>","FALSE","Current route scenarios from verified entrance to Ben Gurion Airport by car transit and accessible modes.","route_id;origin_entrance_id;mode;duration_range;transfers;time_window;source_id;verified_at","minutes and km","unknown","Current routing results and official transit schedules.","Mobility data steward","Monthly; daily for service status","Expired journeys lose current status","Yes","Offer external directions without an internal time claim.","value=null; evidence.state=unknown"
"mobility.current_services","all","array<object>","FALSE","Transit services operating on the selected date near verified entrances.","service_id;mode;operator;stop_id;route_ids;operating_state;source_id;verified_at","none","unknown","Official operator schedule GTFS where licensed and disruption status.","Mobility data steward","Daily","Expired service becomes unknown not operating","Yes","Show No verified current-service data.","value=null; evidence.state=unknown"
"mobility.cycling_facilities","all","object","FALSE","Employee cycling route and building bicycle parking shower locker and access facts.","route_ids;rack_count;secure_count;shower_count;locker_count;entrance_id;hours;source_ids","counts","unknown","Municipal route data plus landlord amenity schedule.","Building manager and mobility data steward","Quarterly","Facility values become unknown and routes stale","Yes","Separate unverified building facilities from public routes.","value=null; evidence.state=unknown"
"mobility.drive_time_variability","all","object","FALSE","Distribution of routed car travel times for a named origin destination and time window.","origin;destination;time_window;sample_period;median;p90;provider;verified_at","minutes","unknown","Historical routed travel samples under licensed terms.","Mobility data steward","Monthly","Remove current percentile claim","Yes","Show Insufficient traffic evidence.","value=null; evidence.state=unknown"
"mobility.future_projects","all","array<object>","FALSE","Official planned transport projects with stage expected timing range and source date.","transport_project_id;name;mode;stage;expected_range;source_id;verified_at;confidence","none","unknown","Official planning authority or operator source.","Mobility research editor","Monthly","Mark stale and never convert to operating automatically","Yes with future label","Show No sourced future-project data.","value=null; evidence.state=unknown"
"mobility.peak_drive_times","all","array<object>","FALSE","Typical routed drive-time ranges from buyer-defined origins during declared peak windows.","route_id;origin;destination;weekday_set;time_window;median;p90;sample_period;source_id","minutes","unknown","Licensed routing or historical traffic data.","Mobility data steward","Monthly","Lose current badge and require recalculation","Yes","Ask origin and show no promise until data exists.","value=null; evidence.state=unknown"
"mobility.rail_routes","all","array<object>","FALSE","Entrance-to-platform rail journeys including routed walk access transfers service and accessibility evidence.","route_id;entrance_id;station_id;walk_distance;duration_range;transfers;accessible_state;source_ids","m and minutes","unknown","Routing path official operator data and verified entrance information.","Mobility data steward","Monthly; daily for service changes","Route loses current status and accessibility state becomes unknown","Yes","Label straight-line distance accurately and offer external routing.","value=null; evidence.state=unknown"
"places.business_ecosystem","commercial;premium","array<object>","FALSE","Nearby companies investors universities and tech hubs with relevance and routed distance.","place_id;organization;category;coordinate;relevance_note;route_id;source_id;verified_at","none","unknown","Organization first-party location or authoritative directory.","Research editor","Quarterly","Remove current-presence implication","Yes","Show No verified ecosystem set and avoid implying partnership.","value=null; evidence.state=unknown"
"places.business_hospitality","commercial;premium","array<object>","FALSE","Nearby hotels conference and visitor facilities with service type and routed access.","place_id;category;name;coordinate;service_summary;route_id;source_id;verified_at","none","unknown","First-party venue source or licensed place data.","Local content data steward","Quarterly","Operating state becomes unknown","Yes","Show No verified hospitality shortlist.","value=null; evidence.state=unknown"
"places.daily_services","all","array<object>","FALSE","Nearby grocery pharmacy medical gym childcare banking parking and similar daily services.","place_id;category;name;coordinate;operating_state;hours;route_id;source_id;verified_at","none","unknown","Current first-party or licensed place record.","Local content data steward","Monthly","Expired places leave current and open filters","Yes","Show No verified results not None exist.","value=null; evidence.state=unknown"
"places.food","all","array<object>","FALSE","Nearby lunch cafe and food options with routed walk time and current operating state.","place_id;category;name;coordinate;price_band;hours;operating_state;route_id;source_id;verified_at","none","unknown","Current first-party or licensed place record.","Local content data steward","Monthly","Expired places lose open and current badges","Yes","Show No verified food results not No restaurants.","value=null; evidence.state=unknown"
"privacy.lead_notice","all","object","TRUE","Just-in-time lead notice stating purposes recipients retention rights processors and optional marketing choices.","notice_version;locale;purpose_ids;recipient_categories;retention_summary;rights_url;processor_summary","none","unknown","Approved current privacy notice and data-flow inventory.","Privacy officer","On policy processor purpose or law change","Disable personal-data submission until valid notice loads","Yes at form","Do not collect or route personal data.","value=null; evidence.state=unknown"
"project.delivery_team","all","array<object>","FALSE","Current and historical developer architect contractor consultant and project-delivery roles.","role;organization;status current_or_historical;scope;source_id;verified_at","none","unknown","Owner-issued appointment sheet statutory disclosure or contract evidence.","Owner project director","Quarterly during construction; annual when operational","Expired records display historical not current","Yes","Show Delivery role not verified.","value=null; evidence.state=unknown"
"provenance.fact_envelope","all","object","TRUE","Canonical evidence envelope attached to every material fact; server fields are normalized without inventing dates confidence ownership scope or provenance.","state;value;unit;scope;effective_at;sources;observations;verified_at;expires_at;owner;confidence;reason;applicability;conflict_ids;note;caveat;required_document_ids;decision_grade","none","unknown","At least one in-scope source plus authorized verification workflow for verified state; source_ids and owner_role may be derived indexes but never replace sources[] and owner.","Product data steward","Per field SLA and every fact write","Expired verified facts become evidence.state=unknown with reason=expired; the UI may show stale age but never preserve green state or add a fifth truth state.","Yes through source affordance","Render unknown neutral state and exact request action.","value=null; evidence.state=unknown; sources=[]; owner={team:null,accountable_role:null,contact_ref:null}"
"provenance.conflicts","all","array<object>","FALSE","Registry of incompatible values or scopes affecting a fact without overwriting source history.","conflict_id;field_id;source_values;status;severity;reviewer;resolution;resolved_at","none","unknown","Automated comparison plus named reviewer decision and retained sources.","Product data steward","On ingestion and weekly review","Open conflicts continue to block definitive fact","Yes beside affected fact","Show contradictory and all safe sourced values.","value=null; evidence.state=unknown"
"resilience.emergency_pack","commercial;premium","object","FALSE","Public-safe emergency and business-continuity summary plus controlled document references.","evacuation;assembly;communications;backup_services;last_drill;document_ids;access_class","none","unknown","Current building emergency plan drill record and security-approved summary.","Building manager and security","Annual and after drill or plan change","Lose current badge and restrict outdated instructions","Public-safe summary; documents controlled","Show Emergency information not supplied and request current pack.","value=null; evidence.state=unknown"
"risk.environmental","all","array<object>","FALSE","Flood heat wind pollution and other environmental screening or site-specific risk records.","risk_id;hazard;assessment_type;geography;period;severity;source_id;limitations;mitigation_question","none","unknown","Authoritative hazard dataset or engineering study.","Risk analyst","Annual and after material event","Mark stale; never convert missing to no risk","Yes with limitations","Show Environmental risk not assessed.","value=null; evidence.state=unknown"
"risk.legal","commercial;residential;premium","array<object>","FALSE","Title litigation permit enforcement and related legal diligence issues or scoped confirmations.","risk_id;category;status;scope;source_id;counsel_role;verified_at;limitations","none","unknown","Current counsel confirmation and relevant public record review.","Owner legal counsel","Per deal and quarterly","Expired clear status becomes unknown","Controlled summary","Show Legal risk status not provided; never imply none.","value=null; evidence.state=unknown"
"risk.local_projects","all","array<object>","FALSE","Nearby planning construction roadworks and infrastructure projects with expected impact period.","risk_id;project_name;type;geometry;status;impact;period;source_id;verified_at","none","unknown","Official planning and works notices plus documented impact assessment.","Planning and local research editor","Monthly","Mark stale and remove current impact conclusion","Yes on risk map","Show Local project risks not assessed.","value=null; evidence.state=unknown"
"routing.recipient_policy","all","object","TRUE","Versioned rule selecting an authorized recipient category fallback escalation and delivery audit for each enquiry.","policy_id;project_contract_id;wp_post_id;request_class;primary_category;fallback_category;authorization_source;SLA_id;alert_rule;verified_at","none","unknown","Approved sales-operations routing configuration and mandate evidence.","Commercial sales operations","Real time and monthly audit","Route only to staffed fallback and alert operations","Recipient category and SLA after submission","Do not claim delivery to landlord or developer.","value=null; evidence.state=unknown"
"selection.resolved_floor_id","commercial;residential;premium;3D","compound_reference","TRUE","Authoritative project-contract/building/tower/floor tuple resolved from the user's model tap native picker URL or navigation control; floor labels are never globally unique.","project_contract_id;building_id;tower_id;floor_id valid under active calibration and floor schedule versions","none","unknown","Passing building/tower-scoped calibration resolver plus authoritative building/tower/floor crosswalk.","3D engine owner","Every selection event and model release","Reject ambiguous building tower or floor result and request explicit picker confirmation","Yes in selection confirmation and canonical URL","Do not choose a same-label floor from another building or tower or the nearest overlapping hotspot silently.","project_1/building_main/tower_a/floor_20"
"space.load_factor","commercial;retail","derived_decimal","CONDITIONAL","Selected-space rentable area divided by usable area minus one under the same standard and revision.","Non-negative decimal with input field IDs and revisions","percent","unknown","Deterministic calculation from verified same-space area inputs.","Product calculation service","On any area or demise change","Immediately becomes unknown","Yes","List missing or mismatched inputs; never inherit zone value.","value=null; evidence.state=unknown"
"space.measurement_standard","commercial;retail","string","TRUE","Contractual measurement method governing the exact selected space's rentable and usable areas.","Named standard and version or owner methodology ID","none","unknown","Lease measurement clause plus certified survey methodology.","Measurement surveyor and leasing counsel","On methodology or demise change","Area and cost comparisons become unknown","Yes","Show Standard not supplied.","value=null; evidence.state=unknown"
"space.parking_allocation","commercial;residential;premium","object","FALSE","Parking quantities committed included optional or shared for the selected deal.","included;optional;visitor;accessible;EV;bicycle;ratio;hold_expiry;source_id","spaces","unknown","Landlord allocation schedule and current offer.","Leasing operations","Per offer revision and daily for held inventory","Allocation returns to unknown at offer or hold expiry","Buyer-specific summary","Show Not committed and request allocation.","value=null; evidence.state=unknown"
"telecom.delivery_lead_time","commercial;premium","array<object>","FALSE","Recent service-delivery ranges for named carrier products and prerequisites.","carrier;product;minimum;maximum;prerequisites;sample_period;source_id;confidence","business days","unknown","Current carrier quote or documented building service history.","Building IT manager and carriers","Quarterly","Mark stale and remove timing promise","Yes as sourced range","Show Lead time not verified.","value=null; evidence.state=unknown"
"telecom.mmr_and_risers","commercial;premium","object","FALSE","Controlled inventory and route references for meet-me rooms risers and floor connection points.","MMR_ids;riser_ids;served_floor_ids;diversity_state;document_id;access_class;revision","none","unknown","As-built low-voltage drawings and building IT confirmation.","Building IT manager","On as-built or carrier-route change","Access grants expire and topology status becomes unknown","High-level summary; details restricted","Offer gated technical request without revealing sensitive topology.","value=null; evidence.state=unknown"
"tool.plan.asset","all","object","TRUE","Truth-gated selected-space plan tool asset and action state.","state available;requestable;not_applicable;null when evidence.state=unknown;space_id;document_id;revision;verified_at","none","unknown","Actual versioned plan inventory reconciled to selected asset.","Owner architect and product owner","On plan or tool release","Viewer changes to request state; never empty shell","Yes","Label Request verified floor pack and do not open viewer.","value=null; evidence.state=unknown"
"tool.studio.mode","all","enum","TRUE","Asset-type-specific planning studio mode allowed for the selection.","commercial_workspace;residential_home;retail_fitout;request_test_fit;not_applicable","none","unknown","Explicit asset type and approved tool capability matrix.","Product owner","Every tool or asset-adapter release","Fall back to request or not applicable","Yes","Never load residential mode for commercial asset.","value=null; evidence.state=unknown"
"tool.tour.commercial_model","commercial","object","FALSE","Verified captured office tour or commercial test-fit model linked to selected geometry.","state;asset_type actual_capture_or_test_fit;space_id;plan_revision;program;author;verified_at;limitations","none","unknown","Captured tour metadata or workplace-architect model based on current plan.","Workplace architect and product owner","On asset plan or program revision","Tour door becomes request state","Yes with truth label","Hide residential schematic and offer office test fit.","value=null; evidence.state=unknown"
"transaction.entity_requirement","commercial","object","FALSE","Landlord policy and counsel-reviewed considerations for whether a foreign buyer needs an Israeli entity.","direct_foreign_allowed;local_entity_required;conditions;required_documents;landlord_policy_source;legal_reviewed_at","none","unknown","Current landlord contracting policy plus qualified Israeli counsel review.","Leasing counsel and buyer counsel","Per deal and law or policy change","Return to unknown and require fresh advice","General guidance and buyer-specific controlled detail","Separate landlord policy from legal advice; do not conclude automatically.","value=null; evidence.state=unknown"
"transaction.foreign_lessee_options","commercial","array<object>","FALSE","Possible structures for a foreign organization to lease or guarantee obligations in Israel.","option;availability;landlord_conditions;legal_tax_flags;document_ids;reviewed_at","none","unknown","Current landlord policy and qualified legal and tax guidance.","Independent legal and tax counsel","Annual and on law or policy change","Mark stale and prohibit definitive recommendation","General guidance with disclaimer","Show Options not assessed and offer professional-advice request.","value=null; evidence.state=unknown"
"transaction.kyc_checklist","commercial","array<object>","FALSE","Landlord onboarding corporate beneficial-owner and authority documents with purpose and handling rules.","document_type;required_state;purpose;recipient;retention_rule;security_class;policy_source","none","unknown","Current landlord KYC policy and privacy notice.","Leasing counsel and privacy officer","On policy or law change","Stop requesting superseded fields and update consent","Preview public; uploads controlled","Show Checklist not supplied and collect no speculative documents.","value=null; evidence.state=unknown"
"transaction.tax_considerations","commercial","array<object>","FALSE","Deal-relevant VAT withholding registration and other Israeli tax issue checklist.","issue;applicability;trigger;source_id;reviewed_at;adviser_required;limitations","none","unknown","Current qualified tax-adviser memo and selected deal facts.","Independent tax counsel","On law change and per deal","Mark stale and remove definitive treatment","General guidance with disclaimer","Show Tax treatment not assessed and request advice.","value=null; evidence.state=unknown"
"ux.mobile_decision_surface","all","object","TRUE","Acceptance contract for one-view mobile selection identity truth scene actions and no nested scrolling.","version;minimum_viewports;required_regions;max_internal_scroll_containers;overlap_rules;test_ids;owner_device_gate","none","unknown","Passing automated geometry tests plus mandatory physical-device review.","UX and frontend owners","Every UI copy or data-layout release","Release gate fails and prior surface remains active","Operational specification","Do not claim mobile support.","value=null; evidence.state=unknown"
"ux.orientation_scene","all","object","TRUE","Truth and layout contract for the permanent local map and one independently evidenced beam per selected-space facade exposure.","project_anchor;space_id;beam_exposures(each exposure_id azimuth sector evidence);landmarks(each full_label evidence; compact_label evidence max 12 Unicode code points with no truncation; coordinates; bearing; exposure_ids; distance; distance_method; evidence);north;illustrative_caveat;unknown_state;viewport_tests;locale_tests","none","unknown","Verified tower/floor exposure geometry and individually evidenced in-sector landmarks including a separately sourced compact label plus passing visual regression and real-device tests.","Project modeler and frontend owner","Every exposure geometry landmark label model UI or localization release","If the complete configured claim or any compact label is missing expired malformed contradictory or longer than 12 Unicode code points render the neutral anchor/north request state with no cone landmark distance or promised view","Yes with full label compact label source method freshness and caveat","Do not truncate a landmark label default west draw unevidenced roads collapse multiple facades or overlay unreadable caption.","value=null; evidence.state=unknown"
"project.tower_registry","all","array<object>","TRUE","Canonical project-scoped registry of physical buildings and marketed towers used by selection URLs floor schedules tools and leads.","building_id;tower_id;display_label;legal_label;model_root_id;source_id;verified_at;aliases","none","unknown","Owner-approved building/tower schedule reconciled to the 3D model and legal project record.","Owner architect and 3D engine owner","On building tower naming model or ownership-boundary change","Block selection publication and enquiries for unregistered or duplicate tower IDs","Yes; localized display label with stable ID in evidence drawer","Require an explicit single-tower record even when the project currently has only one tower.","value=null; evidence.state=unknown"
"floor.tower_id","all","reference","TRUE","Immutable tower identifier scoping a floor ID within its building and project contract; required even for single-building single-tower projects.","Exact project.tower_registry.tower_id; unique tuple project_contract_id+building_id+tower_id+floor_id","none","unknown","Current owner-approved building/tower registry and floor schedule.","Owner architect and 3D engine owner","On building tower or floor crosswalk revision","Block model hit selection deep link tools comparison and lead payload until the compound tuple resolves uniquely","Yes in selected identity and URL context","Never infer from a translated building/tower label or accept an empty building or tower ID.","tower_main"
